phrase_id,module_name,phrase,phrase_lang,translations
1860,greetings,bonsoir,French,"[""good evening""]"
1861,greetings,good evening,English,"[""bonsoir""]"
1862,geography,sud,French,"[""south""]"
1863,geography,south,English,"[""sud""]"
1864,nouns,clef,French,"[""key""]"
1865,nouns,key,English,"[""clef"", ""clé""]"
1866,anatomy,nerve,English,"[""nerf""]"
1867,anatomy,nerf,French,"[""nerve""]"
1868,animals,deer,English,"[""cerf""]"
1869,animals,cerf,French,"[""deer""]"
1870,tools,tool,English,"[""outil""]"
1871,tools,outil,French,"[""tool""]"
1872,adjectives,gentil,French,"[""nice"", ""kind""]"
1873,adjectives,nice,English,"[""gentil"", ""sympa""]"
1874,anatomy,nombril,French,"[""navel""]"
1875,anatomy,navel,English,"[""nombril""]"
1876,family,fils,French,"[""son""]"
1877,family,son,English,"[""fils""]"
1878,nouns,faim,French,"[""hunger""]"
1879,nouns,hunger,English,"[""faim""]"
1880,nouns,nom,French,"[""name""]"
1881,nouns,name,English,"[""nom""]"
1882,nouns,gardien,French,"[""keeper"", ""guard""]"
1883,nouns,keeper,English,"[""gardien""]"
1884,nouns,guard,English,"[""gardien""]"
1885,nouns,magicien,French,"[""magician""]"
1886,nouns,magician,English,"[""magicien"", ""magicienne""]"
1887,nouns,végétarien,French,"[""vegetarian""]"
1888,nouns,vegetarian,English,"[""végétarien""]"
1889,nouns,chirurgien,French,"[""surgeon""]"
1890,nouns,surgeon,English,"[""chirurgien""]"
1891,school,examen,French,"[""exam"", ""examination""]"
1892,school,examination,English,"[""examen""]"
1893,school,exam,English,"[""examen""]"
1894,anatomy,abdomen,French,"[""abdomen""]"
1895,anatomy,abdomen,English,"[""abdomen""]"
1896,adjectives,dernier,French,"[""last""]"
1897,adjectives,last,English,"[""dernier"", ""dernière""]"
1898,adjectives,entier,French,"[""whole""]"
1899,adjectives,whole,English,"[""entier"", ""entière""]"
1900,adjectives,premier,French,"[""first""]"
1901,adjectives,first,English,"[""premier"", ""première""]"
1902,adjectives,léger,French,"[""light""]"
1903,adjectives,light,English,"[""léger"", ""légère""]"
1904,adverbs,hier,French,"[""yesterday""]"
1905,adverbs,yesterday,English,"[""hier""]"
1906,health,cancer,French,"[""cancer""]"
1907,health,cancer,English,"[""cancer""]"
1908,adjectives,cher,French,"[""expensive"", ""dear""]"
1909,adjectives,dear,English,"[""cher"", ""chère""]"
1910,adjectives,expensive,English,"[""cher"", ""chère""]"
1911,religion,enfer,French,"[""hell""]"
1912,religion,hell,English,"[""enfer""]"
1913,elements,fer,French,"[""iron""]"
1914,elements,iron,English,"[""fer""]"
1915,nature,mer,French,"[""sea""]"
1916,nature,sea,English,"[""mer""]"
1917,animals,ours,French,"[""bear""]"
1918,animals,bear,English,"[""ours""]"
1919,fruit,ananas,French,"[""pineapple""]"
1920,fruit,pineapple,English,"[""ananas""]"
1921,health,stress,French,"[""stress""]"
1922,health,stress,English,"[""stress""]"
1923,transportation,autobus,French,"[""bus""]"
1924,transportation,bus,English,"[""autobus""]"
1925,nature,cactus,French,"[""cactus""]"
1926,nature,cactus,English,"[""cactus""]"
1927,school,campus,French,"[""campus""]"
1928,school,campus,English,"[""campus""]"
1929,work,processus,French,"[""process""]"
1930,work,process,English,"[""processus""]"
1931,health,virus,French,"[""virus""]"
1932,health,virus,English,"[""virus""]"
1933,nouns,abus,French,"[""abuse""]"
