phrase_id,module_name,phrase,phrase_lang,translations,,,
,nouns,bonsoir,French,"""[""""good evening""""]""",,,
,nouns,good evening,English,"""[""""bonsouir""""]""",,,
,nouns,sud,French,"""[""""south""""]""",,,
,nouns,south,English,"""[""""sud""""]""",,,
,nouns,clef,French,"""[""""key""""]""",,,
,nouns,key,English,"""[""""clef"""", """"clé""""]""",,,
,nouns,nerve,English,,nerf,,
,nouns,nerf,French,,nerve,,
,nouns,deer,English,,cerf,,
,nouns,cerf,French,,deer,,
,nouns,tool,English,,outil,,
,nouns,outil,French,,tool,,
,nouns,gentil,French,,nice,,
,nouns,nice,English,,gentil,,
,nouns,nombril,French,,navel,,
,nouns,navel,English,,nombril,,
,nouns,fils,French,,son,,
,nouns,son,English,,fils,,
,nouns,faim,French,,hunger,,
,nouns,hunger,English,,faim,,
,nouns,nom,French,,name,,
,nouns,name,English,,nom,,
,nouns,gardien,French,,keeper,guard,
,nouns,keeper,English,,gardien,,
,nouns,guard,English,,gardien,,
,nouns,magicien,French,,magician,,
,nouns,magician,English,,magicien,,
,nouns,végétarien,French,,vegetarian,,
,nouns,vegetarian,English,,végétarien,,
,nouns,chirurgien,French,,surgeon,,
,nouns,surgeon,English,,chirurgien,,
,nouns,examen,French,,exam,examination,
,nouns,examination,English,,examen,,
,nouns,exam,English,,examen,,
,nouns,abdomen,French,,abdomen,,
,nouns,abdomen,English,,abdomen,,
,adjectives,dernier,French,,last,,
,adjectives,last,English,,dernier,dernière,
,adjectives,entier,French,,whole,,
,adjectives,whole,English,,entier,entière,
,adjectives,premier,French,,first,,
,adjectives,first,English,,premier,première,
,adjectives,léger,French,,light,,
,adjectives,light,English,,léger,légère,
,adverbs,hier,French,,yesterday,,
,adverbs,yesterday,English,,hier,,
,nouns,cancer,French,,cancer,,
,nouns,cancer,English,,cancer,,
,adjectives,cher,French,,expensive,dear,
,adjectives,dear,English,,cher,chère,
,adjectives,expensive,English,,cher,chère,
,nouns,enfer,French,,hell,,
,,hell,English,,enfer,,
,,fer,French,,iron,,
,,iron,English,,fer,,
,,mer,French,,sea,,
,,sea,English,,mer,,
,,ours,French,,bear,,
,,bear,English,,ours,,
,,ananas,French,,pineapple,,
,,pineapple,English,,ananas,,
,,stress,French,,stress,,
,,stress,English,,stress,,
,,autobus,French,,bus,,
,,bus,English,,autobus,,
,,cactus,French,,cactus,,
,,cactus,English,,cactus,,
,,campus,French,,campus,,
,,campus,English,,campus,,
,,processus,French,,process,,
,,process,English,,processus,,
,,virus,French,,virus,,
,,virus,English,,virus,,
,,abus,French,,abuse,,
,,abuse,English,,abus,,
,,jus,French,,juice,,
,,juice,English,,jus,,
,,refus,French,,refusal,,
,,refusal,English,,refus,,
,,iris,French,,iris,,
,,iris,English,,iris,,
,,maïs,French,,corn,,
,,corn,English,,maïs,,
,,tennis,French,,tennis,,
,,tennis,English,,tennis,,
,,tournevis,French,,screwdriver,,
,,screwdriver,English,,tournevis,,
,,avis,French,,opinion,,
,,opinion,English,,avis,,
,,débris,French,,debris,,
,,debris,English,,débris,,
,,gâchis,French,,mess,,
,,mess,English,,gâchis,bazar,désordre
,,souris,French,,mouse,,
,,mouse,English,,souris,,
,,tapis,French,,carpet,,
,,carpet,English,,tapis,,
,,cosmos,French,,cosmos,,
,,cosmos,English,,cosmos,,
,,os,French,,bone,,
,,bone,English,,os,,
